prolongamento,Index_complex,tipo
22314,0.215318071526532,MAG
41050,0.12124844800274,MAG
26469,0.0386445356481313,MAG
39819,0.192623532512825,MAG
59612,0.185950921083177,MAG
35808,0.299640118917227,MAG
38182,0.281293528592403,MAG
44728,0.179784346805545,MAG
43551,0.0831368421052632,MAG
47893,0.410250095432772,MAG
49044,0.381070166582534,MAG
46902,0.347050716264565,MAG
56073,0.188840829198432,MAG
42079,0.165264828407062,MAG
83381,0.453307456775877,MAG
56227,0.376557856921098,MAG
30225,0.0656589075396458,MAG
60918,0.283621054612164,MAG
52742,0.299230697686778,MAG
59343,0.811989126715584,MAG
46071,0.467682673198687,MAG
54278,0.457301404789282,MAG
46465,0.182040629510967,MAG
51530,0.484008571485791,MAG
47828,0.510710997442455,MAG
57546,0.343614193975203,MAG
67048,0.525592584730772,MAG
16750,0.440883904132452,FAAH
30922,0.17470908508594,FAAH
29431,0.10440630515489,FAAH
26396,0.422899494960537,FAAH
24984,0.370806890299184,FAAH
20919,0.301372607955115,FAAH
28516,0.265070487874024,FAAH
49358,0.288881845293838,FAAH
38355,0.474553051578875,FAAH
38620,0.327201142817323,FAAH
69450,0.29170958563226,FAAH
48001,0.107788104089219,FAAH
30956,0.245803386526983,FAAH
79123,0.312900004341974,FAAH
48699,0.259139245128018,FAAH
51590,0.358684302123216,FAAH
35361,0.241668453785117,FAAH
54947,0.51167771635769,FAAH
51677,0.23406305117906,FAAH
40621,0.282225716961462,FAAH
39550,0.323121684066404,FAAH
32670,0.049627647195718,FAAH
25701,0.0468402314196706,FAAH
32349,0.0589108046779543,FAAH
18669,0.0893614945612409,FAAH
25266,0.0787237921604376,FAAH
28211,0.0796959613753507,FAAH
25856,0.112666872576272,FAAH
22007,0.0584435031874385,FAAH
27871,0.0644489946628176,FAAH
